epoch,loss,val_loss
0,309.1548767089844,292.83233642578125
1,270.0666198730469,266.34832763671875
2,251.3318634033203,251.2306671142578
3,239.2296905517578,240.73953247070312
4,230.25714111328125,232.56947326660156
5,223.16802978515625,225.98004150390625
6,217.29730224609375,220.15199279785156
7,212.14382934570312,215.021240234375
8,207.4761505126953,210.28070068359375
9,203.24871826171875,205.9990692138672
10,199.3734588623047,202.06649780273438
11,195.83282470703125,198.59378051757812
12,192.54298400878906,195.41098022460938
13,189.51397705078125,192.4238739013672
14,186.68405151367188,189.6269989013672
