epoch,loss,val_loss
0,2191.66064453125,485.7380065917969
1,430.85943603515625,404.70196533203125
2,369.3184509277344,358.69317626953125
3,329.0148010253906,323.0006103515625
4,300.23486328125,297.1532897949219
5,278.8786315917969,276.8816223144531
6,260.9024963378906,257.5513000488281
7,244.32626342773438,238.15182495117188
8,229.2491455078125,224.7499237060547
9,218.97901916503906,217.3594207763672
10,212.5201873779297,210.77439880371094
11,206.77691650390625,205.454833984375
12,201.52281188964844,199.5561065673828
13,196.6753387451172,194.97195434570312
14,192.73214721679688,190.86685180664062
