epoch,loss,val_loss
0,5639.787109375,185.921875
1,167.0375213623047,158.43716430664062
2,146.98443603515625,138.3965301513672
3,141.36016845703125,218.35655212402344
4,129.2599639892578,152.05535888671875
5,133.5499725341797,119.78797149658203
6,127.71227264404297,310.5533142089844
7,172.78050231933594,146.5466766357422
8,134.16842651367188,138.38035583496094
9,120.46016693115234,113.77140045166016
10,117.22061920166016,157.68191528320312
11,114.23509216308594,112.70571899414062
12,102.90130615234375,106.60456085205078
13,103.43465423583984,181.8213653564453
14,130.04637145996094,115.09913635253906
