epoch,loss,val_loss
0,457.9293212890625,184.45704650878906
1,171.14651489257812,183.1537628173828
2,140.62551879882812,139.47926330566406
3,130.14227294921875,145.45077514648438
4,127.71803283691406,132.92391967773438
5,126.7215576171875,156.96868896484375
6,126.31218719482422,133.58790588378906
7,124.89812469482422,130.46864318847656
8,124.89867401123047,130.03936767578125
9,123.9935073852539,130.3099365234375
10,123.92996215820312,174.56207275390625
11,123.51959991455078,141.6747283935547
12,123.57003784179688,130.13760375976562
13,123.10533142089844,186.02523803710938
14,122.42268371582031,137.39019775390625
