epoch,loss,val_loss
0,2516.95166015625,163.8531951904297
1,155.07977294921875,151.64990234375
2,145.10202026367188,140.03598022460938
3,132.17117309570312,122.98088836669922
4,125.41768646240234,125.95288848876953
5,113.10964965820312,112.71928405761719
6,111.02705383300781,114.85509490966797
7,111.01115417480469,117.63592529296875
8,106.46858215332031,109.69589233398438
9,102.97311401367188,117.91463470458984
10,106.57861328125,109.5149917602539
11,102.25100708007812,117.09785461425781
12,106.78765869140625,107.731689453125
13,99.5897216796875,102.48207092285156
14,100.5905990600586,103.86795043945312
15,99.57733154296875,100.245361328125
16,98.90747833251953,103.79672241210938
17,99.85403442382812,101.31455993652344
18,101.0162582397461,103.12261199951172
19,97.68744659423828,107.63440704345703
