epoch,loss,val_loss
0,6320.68408203125,164.44375610351562
1,150.53936767578125,144.24798583984375
2,134.17605590820312,164.0657958984375
3,113.4195556640625,431.5265808105469
4,110.81951904296875,117.28959655761719
5,106.34990692138672,107.4770736694336
6,102.57891845703125,114.34151458740234
7,113.32398986816406,13141.2978515625
8,267.2139587402344,2424.31005859375
9,132.25064086914062,112.6780014038086
10,104.87010955810547,190.22933959960938
11,100.48356628417969,292.7970275878906
12,106.00524139404297,113.49356842041016
13,101.03712463378906,150.26527404785156
14,342.32257080078125,98.76283264160156
