epoch,loss,val_loss
0,258.7551574707031,267.9179382324219
1,257.82086181640625,266.89971923828125
2,256.89288330078125,265.89593505859375
3,255.96202087402344,264.88958740234375
4,255.0286102294922,263.87664794921875
5,254.08958435058594,262.8594055175781
6,253.1500701904297,261.8495178222656
7,252.21066284179688,260.8314514160156
8,251.2683868408203,259.8172912597656
9,250.3235626220703,258.801025390625
10,249.37631225585938,257.78265380859375
11,248.43035888671875,256.76483154296875
12,247.47799682617188,255.74732971191406
13,246.53924560546875,254.75045776367188
14,245.60617065429688,253.7481689453125
