epoch,loss,val_loss
0,2521.9599609375,234.0724334716797
1,220.2296600341797,218.4139862060547
2,204.32864379882812,204.64633178710938
3,195.40176391601562,197.2030487060547
4,188.84268188476562,191.35202026367188
5,184.19117736816406,194.2562255859375
6,180.29652404785156,184.33978271484375
7,177.04295349121094,177.01022338867188
8,174.26202392578125,176.19972229003906
9,172.14842224121094,174.3079833984375
10,170.13648986816406,217.41314697265625
11,169.18426513671875,168.47702026367188
12,166.83172607421875,166.76385498046875
13,164.9276580810547,173.4534912109375
14,163.73768615722656,177.3187713623047
