epoch,loss,val_loss
0,231.8677520751953,209.7036895751953
1,197.34104919433594,188.89500427246094
2,183.3461151123047,180.93374633789062
3,178.81805419921875,178.18194580078125
4,176.77793884277344,176.679443359375
5,175.44384765625,175.63404846191406
6,174.3773651123047,174.7647247314453
7,173.357666015625,173.85914611816406
8,172.181884765625,172.73841857910156
9,170.64874267578125,171.24436950683594
10,168.4153289794922,168.7890625
11,163.36322021484375,162.3237762451172
12,154.97442626953125,156.61892700195312
13,149.2345733642578,152.6596221923828
14,145.65252685546875,150.01882934570312
