epoch,loss,val_loss
0,4621.9814453125,4237.50927734375
1,3265.133544921875,3154.20556640625
2,2544.560791015625,2550.9013671875
3,2155.23779296875,2212.7529296875
4,1944.572509765625,2012.0894775390625
5,1813.37060546875,1878.173095703125
6,1717.7596435546875,1779.3218994140625
7,1637.1463623046875,1692.992431640625
8,1564.2218017578125,1614.1065673828125
9,1495.531494140625,1542.7542724609375
10,1431.51611328125,1476.251953125
11,1371.2476806640625,1411.9613037109375
12,1314.3101806640625,1354.697998046875
13,1260.0963134765625,1295.4075927734375
14,1209.6739501953125,1246.199462890625
