epoch,loss,val_loss
0,144.80747985839844,356.437255859375
1,120.16921997070312,119.79804992675781
2,110.02824401855469,113.66429901123047
3,108.64558410644531,134.8419952392578
4,104.18756103515625,105.65599060058594
5,102.91289520263672,114.16018676757812
6,108921.375,101.44298553466797
7,97.2902603149414,223.73680114746094
8,101.62538146972656,105.46048736572266
9,102.27576446533203,218.5260467529297
10,39921204.0,102.50846862792969
11,96.1395263671875,96.32173919677734
12,96.09180450439453,101.29595947265625
13,98.4477767944336,103.93212890625
14,100.80448913574219,105.28363037109375
15,229.1901397705078,105.2849349975586
16,97.17276000976562,110.99605560302734
17,11571241984.0,100.77267456054688
18,96.94808959960938,109.19959259033203
19,97.74713134765625,147.7040252685547
