epoch,loss,val_loss
0,177.5699462890625,164.68017578125
1,154.16818237304688,153.31080627441406
2,141.6431427001953,144.20779418945312
3,135.12388610839844,140.55081176757812
4,132.0130157470703,138.01634216308594
5,130.0994415283203,136.47775268554688
6,128.17626953125,135.5515899658203
7,127.12742614746094,134.00955200195312
8,126.54630279541016,133.3955078125
9,125.95159149169922,132.9276123046875
10,125.33142852783203,132.5015106201172
11,124.9751968383789,132.48431396484375
12,124.44511413574219,131.88909912109375
13,124.1774673461914,131.27671813964844
14,123.970703125,132.34999084472656
