epoch,loss,val_loss
0,7749.435546875,221.64820861816406
1,214.58375549316406,207.5237579345703
2,202.7259063720703,195.73240661621094
3,189.8361358642578,179.7440643310547
4,168.90643310546875,155.68556213378906
5,149.728271484375,145.47071838378906
6,140.70433044433594,137.60797119140625
7,131.42092895507812,129.63519287109375
8,124.994140625,122.73358154296875
9,118.60631561279297,116.09541320800781
10,117.33901977539062,119.21701049804688
11,115.25006103515625,113.08065795898438
12,110.48701477050781,110.74144744873047
13,109.3038330078125,127.55379486083984
14,111.99549102783203,109.33245086669922
