epoch,loss,val_loss
0,650.4332885742188,321.6338195800781
1,272.5252685546875,262.6632080078125
2,235.43106079101562,236.75045776367188
3,217.62649536132812,221.66122436523438
4,206.0847625732422,211.57177734375
5,198.2479248046875,208.3363037109375
6,192.1941375732422,198.15943908691406
7,187.29750061035156,193.80349731445312
8,183.303955078125,190.4790802001953
9,179.95448303222656,189.09210205078125
10,177.0752410888672,185.57623291015625
11,174.4347686767578,183.7999267578125
12,172.31480407714844,179.45669555664062
13,170.30874633789062,177.73068237304688
14,168.4388885498047,175.9099884033203
